predicted_values,true_values
0.9161280589787573,0.899
0.8673766718534204,0.903
0.9056821367770571,0.991
1.0513270147836526,1.06
1.1073018717256204,1.136
1.1881166487477401,1.274
1.3686800877340586,1.339
1.3836005935533493,1.358
1.371041926371112,1.4580000000000002
1.5266324025524687,1.569
1.6451984849221122,1.639
1.687077065341942,1.666
1.6845771430697434,1.64
1.6222087116975572,1.568
1.5186359488901684,1.462
1.3892897657636016,1.237
1.082587485849216,0.97
0.7866940422275609,0.8190000000000001
0.7152939385944587,0.728
0.6654595436988832,0.604
0.5187901675155212,0.547
0.5077662592653526,0.498
0.464249358117635,0.40299999999999997
0.3376638673762768,0.33
0.27975194945953225,0.294
0.2691408979518623,0.23399999999999999
0.1926600581003685,0.139
0.07362323867885834,0.083
0.04438259724158491,0.081
0.07944460791312886,0.085
0.08756324187918854,0.08900000000000001
0.09156392401649595,0.075
0.06520805235589582,0.07
0.06638435819031846,0.071
0.07150254556167136,0.068
0.06575688820189593,0.062
0.057697106810423726,0.057
0.05338279238156925,0.059000000000000004
0.06018744794974461,0.061
0.062187829893569004,0.069
0.07430705583668187,0.075
0.078935364220402,0.08199999999999999
0.08662281262366615,0.106
0.12229398787852463,0.166
0.20701097702872384,0.205
0.23160376297109536,0.23199999999999998
0.2503718109536933,0.287
0.3245975089331799,0.33299999999999996
0.36442738162312566,0.371
0.39694235049597026,0.408
0.43326156050860837,0.406
0.40449397516027125,0.38799999999999996
0.37550998637230576,0.337
0.30185328586316884,0.28
0.24072669637086577,0.233
0.20058327277601173,0.191
0.16200888251778328,0.149
0.12000272993425871,0.08199999999999999
0.03583371912887739,0.073
0.06664152192032138,0.071
0.06944575135692313,0.07400000000000001
0.07587801753559392,0.078
0.08056503474373075,0.079
0.07950621432185866,0.081
0.08219293648791742,0.083
0.0841933205338403,0.083
0.08282069502702308,0.081
0.07944778602878289,0.075
0.07070161461218638,0.077
0.07819277311297596,0.078
0.07850665115378228,0.079
0.07950688047353102,0.077
0.07544762775682681,0.069
0.06332846209834805,0.06
0.053640894030378375,0.044000000000000004
0.03283422030407246,0.032
0.023577963053299636,0.025
0.020008791099938687,0.022000000000000002
0.01975383270994291,0.017
0.013380506697693386,0.01
0.005006878881816084,0.003
-0.001994039398869915,0.0
-0.0022489914274739725,0.0
-0.00018985612206781538,0.0
-0.00018976251132092972,0.0
-0.00018967819219439975,0.0
-0.0001895941559606181,0.0
-0.00018950506729189783,0.001
0.0014970748457812958,0.003
0.004183796213442467,0.004
0.0044976814114303,0.0
-0.00293455411133125,0.001
0.0014974201631385799,0.004
0.0058706328136167215,0.008
0.010557645248231804,0.013999999999999999
0.017931288880350615,0.021
0.025618728457073813,0.027999999999999997
0.03261980878404206,0.037000000000000005
0.04299388123163813,0.045
0.05030876531511888,0.057999999999999996
0.06674245321517924,0.08199999999999999
0.09829584303870305,0.322
0.4865883524559271,0.5660000000000001
0.7333910902071075,0.738
0.8559908440462725,0.8270000000000001
0.8880240529724894,0.907
0.961858080108545,1.018
1.0941565193758225,1.101
1.1579472100238168,1.17
1.2173466081565079,1.265
1.330210321651295,1.3869999999999998
1.470766435037379,1.517
1.6062806394488423,1.662
1.7616045863847662,1.7890000000000001
1.8762663544689007,1.9080000000000001
1.9897925920255015,2.1719999999999997
2.353418631907877,2.647
2.9735622202901735,2.889
3.0554549078147843,2.818
2.769460962236607,2.7739999999999996
2.7439939403735387,2.969
3.103118183971009,3.136
3.250922291151658,3.174
3.200351426177537,3.162
3.154021806383766,3.178
3.189247352841138,3.188
3.1951293451472687,3.139
3.105616027336709,3.031
2.9570924934410314,2.841
2.7107558308513857,2.701
2.6050660181300453,2.673
2.653966258058277,2.641
2.6192152631239187,2.543
2.475885297269957,2.494
2.4605222387582435,2.4290000000000003
2.3845270509759557,2.392
2.3667466900029406,2.38
2.371909918964799,2.315
2.2705109315918217,2.256
2.215621918360059,2.25
2.2460110808116207,2.25
2.250130587824768,2.319
2.3665151674539007,1.9269999999999998
1.6579971589587161,1.682
1.5138818498073028,1.445
1.2823208224135132,1.109
0.878246144223589,0.8220000000000001
0.624827590090544,0.6659999999999999
0.5587815108535149,0.518
0.41625014798399124,0.33399999999999996
0.20749113358705992,0.16899999999999998
0.05551190272174911,0.067
-0.0032306786285371952,0.043
0.026339066673793158,0.021
0.0057096797236849735,0.003
-0.00954553551058986,0.0
-0.002243795004436685,0.0
-0.00018329553642578637,0.0
-0.00018321418876082808,0.0
-0.00018312832555473165,0.0
-0.00018305290979756398,0.0
-0.00018297090585763805,0.0
-0.00018288667514813135,0.0
-0.00018280519076998135,0.0
-0.00018272730564223978,0.0
-0.00018264170730275327,0.0
-0.0001825666259501002,0.0
-0.0001824803029227683,0.0
-0.00018240260349976578,0.0
-0.00018232070918259573,0.0
-0.00018223909947057945,0.0
-0.00018215952944464068,0.0
-0.0001820810214298569,0.0
-0.00018199904929427742,0.0
-0.00018191740678300382,0.0
-0.00018184009381784868,0.0
-0.00018176017601826913,0.0
-0.00018167807816960827,0.0
-0.00018160092130993115,0.0
-0.00018151896207108822,0.0
-0.0001814392403803689,0.0
-0.00018136034251549566,0.0
-0.00018128221509490394,0.003
0.004879624560838278,0.013000000000000001
0.019688714060703154,0.02
0.02462933529173421,0.027999999999999997
0.0333173190655746,0.038
0.0446923813172467,0.048
