SiteID,104686,Site Timezone,-5,Data Timezone,-5,,,,,
Longitude,-76.021698,,,,,,,,,
Latitude,43.116604,,,,,,,,,
Year,Month,Day,Hour,Minute,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2010,10,2,15,10,2.078,332.171,5.203,286.606,100296.024,1.21
2010,10,2,15,15,2.021,332.352,5.157,286.603,100297.848,1.21
2010,10,2,15,20,1.986,332.254,5.13,286.527,100294.184,1.21
2010,10,2,15,25,1.914,332.127,5.072,286.512,100294.184,1.21
2010,10,2,15,30,1.815,331.847,4.992,286.503,100295.104,1.21
2010,10,2,15,35,1.694,331.93,4.895,286.42,100301.512,1.21
2010,10,2,15,40,1.561,332.122,4.788,286.408,100310.672,1.21
2010,10,2,15,45,1.538,331.957,4.77,286.396,100311.584,1.21
2010,10,2,15,50,1.557,331.584,4.785,286.292,100315.248,1.21
2010,10,2,15,55,1.546,331.21,4.776,286.271,100323.488,1.21
2010,10,2,16,0,1.558,330.958,4.785,286.252,100324.4,1.211
2010,10,2,16,5,1.513,331.002,4.748,286.118,100328.984,1.211
2010,10,2,16,10,1.384,330.897,4.644,286.097,100336.304,1.211
2010,10,2,16,15,1.391,330.639,4.651,286.075,100340.88,1.211
2010,10,2,16,20,1.502,329.749,4.739,285.889,100339.968,1.211
2010,10,2,16,25,1.62,328.661,4.834,285.847,100340.88,1.211
2010,10,2,16,30,1.719,327.991,4.913,285.816,100348.2,1.212
2010,10,2,16,35,1.937,327.365,5.087,285.523,100351.864,1.212
2010,10,2,16,40,2.131,326.958,5.243,285.462,100350.952,1.212
2010,10,2,16,45,2.151,327.035,5.258,285.41,100355.528,1.212
2010,10,2,16,50,2.356,327.134,5.377,284.846,100365.6,1.213
2010,10,2,16,55,2.636,326.936,5.536,284.775,100372.016,1.213
2010,10,2,17,0,2.916,326.475,5.694,284.711,100373.84,1.213
2010,10,2,17,5,3.217,326.194,5.865,283.191,100375.672,1.213
2010,10,2,17,10,3.341,326.315,5.935,283.219,100383,1.214
2010,10,2,17,15,3.304,326.76,5.914,283.259,100395.824,1.214
2010,10,2,17,20,3.429,327.392,5.984,281.815,100406.808,1.214
2010,10,2,17,25,3.719,327.935,6.149,281.742,100403.144,1.214
2010,10,2,17,30,3.865,328.419,6.231,281.662,100403.144,1.215
2010,10,2,17,35,3.828,329.045,6.21,280.976,100409.544,1.215
2010,10,2,17,40,3.646,329.71,6.106,280.878,100421.456,1.215
2010,10,2,17,45,3.621,330.254,6.091,280.802,100430.608,1.216
2010,10,2,17,50,3.761,330.649,6.17,280.726,100435.184,1.216
2010,10,2,17,55,3.864,330.984,6.228,280.653,100439.768,1.216
2010,10,2,18,0,3.838,331.429,6.213,280.558,100447.088,1.216
2010,10,2,18,5,3.811,331.901,6.198,280.488,100451.664,1.217
2010,10,2,18,10,3.941,332.544,6.271,281.016,100449.832,1.217
2010,10,2,18,15,4.025,333.285,6.317,281.177,100452.576,1.217
2010,10,2,18,20,3.936,334.296,6.268,280.497,100459.904,1.217
2010,10,2,18,25,3.867,335.493,6.228,280.21,100464.488,1.217
2010,10,2,18,30,3.921,336.235,6.259,280.716,100464.488,1.217
2010,10,2,18,35,4.002,336.664,6.305,280.997,100466.312,1.217
2010,10,2,18,40,4.027,336.933,6.317,280.887,100467.224,1.217
2010,10,2,18,45,3.91,337.147,6.253,280.393,100467.224,1.217
2010,10,2,18,50,3.829,337.383,6.207,280.014,100471.808,1.217
2010,10,2,18,55,4.019,337.471,6.314,280.112,100471.808,1.217
2010,10,2,19,0,4.549,337.839,6.543,280.893,100468.152,1.217
2010,10,2,19,5,4.98,339.031,6.729,280.838,100469.976,1.217
2010,10,2,19,10,5.376,341.454,6.9,280.786,100473.64,1.217
2010,10,2,19,15,5.843,345.342,7.101,280.878,100479.136,1.217
2010,10,2,19,20,6.41,350.055,7.345,280.829,100486.456,1.217
2010,10,2,19,25,7.194,354.423,7.617,280.951,100487.368,1.217
2010,10,2,19,30,7.482,358.565,7.715,280.566,100499.272,1.218
2010,10,2,19,35,7.643,2.734,7.769,279.868,100506.6,1.218
2010,10,2,19,40,7.769,6.948,7.812,279.865,100505.68,1.218
2010,10,2,19,45,7.69,11.096,7.785,279.856,100505.68,1.218
2010,10,2,19,50,7.425,14.991,7.693,279.84,100505.688,1.219
2010,10,2,19,55,7.071,19.012,7.571,279.819,100512.096,1.219
2010,10,2,20,0,7.119,23.066,7.586,279.853,100518.496,1.22
2010,10,2,20,5,7.372,26.972,7.672,279.908,100528.568,1.22
2010,10,2,20,10,7.456,30.246,7.699,279.904,100537.728,1.221
